Company,Year,DPR,DivYield,ROE,Log_Assets,Beta
MRK,2024,0.4580241864812759,0.06694789336156987,0.36912360907444147,25.486345344495348,0.5779564038839519
PFE,2020,0.9213973799126638,0.05472417459864616,0.14431333007735572,25.76169786395213,0.9226497454593873
PFE,2021,0.39713375796178346,0.04810028929604629,0.28375203325501536,25.924383740117314,0.47758877818934253
PFE,2022,0.28635639145680586,0.0455520453542796,0.3270535984236371,26.007499491980976,0.6221594382967208
PFE,2023,4.358375878660802,0.040825246576189175,0.02373219245587313,26.14601961185259,0.23075862524368934
PFE,2024,1.1844104096625576,0.04457440626815873,0.09074883894369301,26.086415431495936,0.5057716847257792
PG,2021,0.577589822452118,0.0692583000159253,0.30664037381575,25.50496583993665,0.8493412475548533
PG,2022,0.5948989282322615,0.07482424407890247,0.3146369573568959,25.487215971145424,0.2899207441921948
PG,2023,0.614140449054801,0.07447715366344172,0.31133538723042603,25.517642159861005,0.4138961545944278
PG,2024,0.6258485113246858,0.07609646076276241,0.2942956604296056,25.530323250848163,0.7474703820791401
SHEL,2022,0.1750218629605994,0.016714670085593557,0.22212713679700954,26.816889781596313,0.6298336119226728
SHEL,2023,0.4335451211322899,0.020658675265217714,0.10374208898915903,26.730283800147795,0.055232766780563776
SHEL,2024,0.5385858083757922,0.022362741835199904,0.09026005709254263,26.68326293650769,-0.28060463971467825
SO,2022,0.8223479490806224,0.021550733555240897,0.11625230202578268,25.627732881848516,0.5055051394905715
SO,2023,0.7633299798792756,0.021782661432129247,0.12644701691896706,25.660118234251353,0.5477256502286103
SO,2024,0.6712110883890025,0.02034715525554484,0.13252830643218502,25.701240188803105,0.3465351476903301
T,2020,-2.8780062032930127,0.028446385334781395,-0.028877482704753404,26.988112573802027,0.8035509568195538
T,2021,0.7503610377969224,0.027315806838741023,0.10922194120366593,27.03612886604411,0.6797901513579776
T,2022,-1.1566166119192867,0.024472946707607985,-0.08006988737236631,26.721837568082435,0.49553323802954125
T,2023,0.565,0.019987225470446617,0.12058786584599925,26.732226431671144,0.6321264372746416
T,2024,0.7497259773474607,0.020790536860902493,0.09106259097525474,26.701632479785218,0.439543715262957
UL,2022,0.566474744831196,0.055627658344148755,0.40176646863992427,25.07767715458731,0.4719965343878488
